,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
94,Elections- Lean Right,7,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in...",24,politician high year plus wield extraordinary power approval voter fearful viral infection democrats ...,1
95,Elections - moderate,7,3,U.S. Justice Dept sues Texas over law curbing voting,Reuters,moderate,"The U.S. Justice Department filed a lawsuit against Texas on Thursday over a state law that places strict curbs on voting by mail, in the latest effort by the...",29,u.s. justice department file lawsuit texas thursday state law place strict curb vote mail late effort ...,1
96,Elections- Lean Left,7,1,Republicans Block a Second Voting Rights Bill in the Senate,New York Times (News), Lean Left,"Senate Republicans on Wednesday blocked legislation to restore parts of the landmark Voting Rights Act weakened by Supreme Court rulings, making it the second...",24,senate republicans wednesday block legislation restore landmark voting rights act weaken supreme court ruling second ...,1
97,Elections- Right,7,5,Justice Department sues Texas over election integrity legislation,Fox News (Online News), Right,"The Department of Justice announced Thursday that it filed a lawsuit against Texas, targeting a state law that proponents say aims to make...",23,department justice announce thursday file lawsuit texas target state law proponent aim ...,1
98,Elections - moderate,7,3,Justice Department Sues Texas Over Voting Law,AllSides Headline Roundup,moderate,The Justice Department filed a lawsuit on Thursday alleging that Texas’ controversial voting law violates the Civil Rights Act of 1964 and the Voting Rights...,25,justice department file lawsuit thursday allege texas controversial voting law violate civil rights act 1964 voting rights ...,1
99,Elections- Left,7,2,"Republicans Once Supported the Voting Rights Act. Today, They Voted Against its Restoration.",Mother Jones, Left,"On Wednesday afternoon, GOP senators blocked Democrats from advancing a key voting rights bill, the John Lewis Voting Rights Advancement Act, marking the...",23,wednesday afternoon gop senator block democrats advance key voting right bill john lewis voting rights advancement act mark ...,1
100,Elections- Lean Right,7,4,Senate GOP blocks federal election law debate for fourth time this year,New York Post (News), Lean Right,"Senate Democrats tried and failed once again Wednesday to begin debate on a bill that would radically revamp America’s election laws, as all but two...",25,senate democrats try fail wednesday begin debate bill radically revamp america election law ...,1
101,Elections - moderate,7,3,Media coverage of Tuesday’s election focuses on the dire state of Democrats,Poynter,moderate,"Doomsday for Democrats; a rebirth for Republicans.

That’s, basically, the media’s take on Tuesday’s Election Day. And that take was essentially based on two...",24,doomsday democrats rebirth republicans basically medium tuesday election day essentially base ...,1
102,Elections- Lean Left,7,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the...",25,june 23 2021 political facebook post share thousand time screenshot post misrepresent ...,1
103,Elections- Right,7,5,"‘Our Broken Elections’: Who Broke Them and Why, and How to Fix Them",The Daily Signal, Right,"Election integrity is a fundamental requirement of a functioning democratic republic.

In the freest nation in the world, our system of government and our...",24,election integrity fundamental requirement function democratic republic free nation world system government ...,1
104,Elections - moderate,7,3,U.S. Senate Democrats fail in latest bid to debate voting rights bill,Reuters,moderate,"U.S. Senate Democrats on Wednesday failed to advance voting-rights legislation for the fourth time this year due to overwhelming Republican opposition, raising...",22,u.s. senate democrats wednesday fail advance voting right legislation fourth time year overwhelming republican opposition raise ...,1
105,Environment- Lean Left,8,1,Deficit ‘prediction’ for infrastructure bill varies widely from estimates,PolitiFact, Lean Left,"The day after the House passed an infrastructure bill and sent it to President Joe Biden to be signed, conservative podcast host Dan Bongino attacked...",25,day house pass infrastructure bill send president joe biden sign conservative podcast host dan bongino attack ...,0
106,Environment- Right,8,5,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in...",25,claim biden handle covid — david corn d.c. bureau chief mother jones lib reporter assertion twitter ...,1
107,Environment - moderate,8,3,Electric Vehicle Tax Credits in Democratic Plan,FactCheck.org,moderate,"The House’s current Build Back Better plan calls for extending a $7,500 tax credit for the purchase of electric vehicles, and it includes an additional $4,500...",26,"house current build better plan extend 7,500 tax credit purchase electric vehicle include additional 4,500 ...",1
108,Environment- Left,8,2,Deceptive Republican attack ad uses images from Trump presidency to depict 'chaos' under Biden,CNN Fact Check, Left,A new national television ad from House Republicans' campaign arm deceptively uses images of events that occurred during former President Donald Trump's time...,23,new national television ad house republicans campaign arm deceptively use image event occur president donald trump time ...,1
109,Environment- Right,8,5,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:...",23,claim democrat rep. cindy axne d ia claim week president joe biden build better agenda cost iowans literally verdict ...,0
110,Environment - moderate,8,3,Can Colorado Hospitals Turn Away Unvaccinated Patients?,The Dispatch Fact Check,moderate,"An article from Red Voice Media, self-described as being owned by “patriots” and fighting “false narratives against conservatives,” claims that...",20,article red voice media self describe patriot fight false narrative conservative claim ...,1
111,Environment- Lean Left,8,1,"Maricopa County Audit Did Not Find 712,152 New Trump Votes",Snopes, Lean Left,"Since June 23, 2021, a political Facebook post has been shared at least tens of thousands of times. The screenshot in the post misrepresented the...",25,june 23 2021 political facebook post share thousand time screenshot post misrepresent ...,1
112,Environment- Right,8,5,For Whom Do the Covid “Fact Checkers” Really Work?,Brownstone Institute, Right,"There are two types of COVID19 survivors— those who have documented recovery from sars-cov-2 (either PCR, antigen or serology + tests) or those who have self-...",26,type covid19 survivor — document recovery sars cov-2 pcr antigen serology test self- ...,1
113,Environment - moderate,8,3,Aaron Rodgers’ Inaccurate COVID-19 Claims,FactCheck.org,moderate,"Aaron Rodgers, the star quarterback of the Green Bay Packers, made headlines when he contracted COVID-19 and then defended his decision not to get vaccinated...",25,aaron rodgers star quarterback green bay packers headline contract covid-19 defend decision vaccinate ...,1
